iter	Passed	Remaining
0	0	60
1	1	55
2	1	52
3	2	48
4	2	47
5	3	47
6	3	46
7	4	46
8	4	45
9	4	44
10	5	44
11	6	44
12	6	43
13	7	43
14	7	42
15	8	42
16	8	42
17	9	42
18	9	41
19	10	41
20	10	40
21	11	40
22	11	39
23	12	39
24	12	38
25	13	38
26	13	37
27	14	37
28	14	36
29	15	36
30	15	35
31	16	35
32	16	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	22
55	28	22
56	29	21
57	29	21
58	30	20
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	43	8
83	43	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	47	4
91	48	4
92	49	3
93	49	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
