iter	Passed	Remaining
0	135	135236
1	136	68061
2	137	45556
3	137	34290
4	138	27519
5	138	23014
6	139	19786
7	139	17358
8	140	15471
9	141	13959
10	141	12733
11	142	11716
12	142	10856
13	143	10115
14	144	9473
15	144	8906
16	145	8411
17	146	7974
18	146	7580
19	147	7226
20	148	6906
21	148	6615
22	149	6350
23	150	6102
24	150	5880
25	151	5671
26	151	5473
27	152	5290
28	152	5120
29	153	4965
30	154	4821
31	154	4686
32	155	4556
33	156	4435
34	156	4320
35	157	4214
36	158	4113
37	158	4017
38	159	3928
39	159	3839
40	160	3758
41	161	3679
42	161	3605
43	162	3531
44	163	3463
45	163	3397
46	164	3333
47	165	3273
48	165	3215
49	166	3160
50	166	3105
51	167	3053
52	168	3003
53	168	2954
54	169	2907
55	169	2862
56	170	2819
57	170	2776
58	171	2737
59	172	2702
60	173	2666
61	173	2630
62	174	2596
63	175	2561
64	175	2530
65	176	2498
66	177	2468
67	177	2438
68	178	2412
69	179	2384
70	180	2356
71	180	2330
72	181	2304
73	182	2278
74	182	2255
75	183	2231
76	184	2208
77	185	2188
78	185	2165
79	186	2144
80	187	2122
81	187	2102
82	188	2078
83	188	2058
84	189	2040
85	190	2023
86	191	2006
87	191	1988
88	192	1971
89	193	1955
90	194	1940
91	194	1924
92	195	1908
93	196	1892
94	197	1876
95	197	1863
96	198	1848
97	199	1832
98	199	1819
99	200	1806
100	201	1791
101	202	1778
102	202	1765
103	203	1752
104	204	1739
105	204	1727
106	205	1714
107	206	1703
108	206	1691
109	207	1679
110	208	1667
111	208	1655
112	209	1644
113	210	1632
114	210	1621
115	211	1611
116	212	1600
117	212	1590
118	213	1580
119	214	1570
120	214	1560
121	215	1549
122	215	1539
123	216	1531
124	217	1522
125	218	1513
126	218	1504
127	219	1498
128	220	1490
129	221	1481
130	222	1473
131	223	1467
132	223	1459
133	224	1451
134	225	1444
135	226	1436
136	226	1429
137	227	1421
138	228	1414
139	229	1407
140	229	1400
141	230	1392
142	231	1386
143	232	1381
144	233	1375
145	234	1368
146	234	1362
147	235	1357
148	236	1351
149	237	1345
150	238	1339
151	238	1332
152	239	1326
153	240	1319
154	240	1313
155	241	1308
156	242	1301
157	243	1295
158	243	1289
159	244	1282
160	244	1276
161	245	1270
162	246	1265
163	247	1259
164	247	1253
165	248	1249
166	249	1243
167	250	1238
168	250	1233
169	251	1228
170	252	1223
171	253	1218
172	253	1213
173	254	1209
174	255	1204
175	256	1198
176	256	1193
177	257	1188
178	258	1184
179	258	1179
180	259	1174
181	260	1169
182	260	1164
183	261	1159
184	262	1155
185	262	1150
186	263	1146
187	264	1141
188	265	1137
189	265	1133
190	266	1129
191	267	1126
192	268	1122
193	269	1117
194	269	1113
195	270	1109
196	271	1104
197	271	1100
198	272	1096
199	273	1092
200	273	1088
201	274	1084
202	275	1080
203	275	1076
204	276	1072
205	277	1068
206	277	1064
207	278	1060
208	279	1056
209	280	1053
210	280	1049
211	281	1046
212	282	1043
213	282	1039
214	283	1035
215	284	1032
216	285	1028
217	286	1026
218	286	1023
219	287	1019
220	288	1016
221	289	1012
222	289	1009
223	290	1007
224	291	1004
225	292	1003
226	293	999
227	294	996
228	294	992
229	295	989
230	296	986
231	297	983
232	297	980
233	298	978
234	299	975
235	300	972
236	300	968
237	301	966
238	302	962
239	303	959
240	303	956
241	304	953
242	305	950
243	305	948
244	306	945
245	307	942
246	308	939
247	308	936
248	309	933
249	310	930
250	310	927
251	311	925
252	312	921
253	312	919
254	313	916
255	314	913
256	315	911
257	315	908
258	316	905
259	316	902
260	317	899
261	318	896
262	319	894
263	319	891
264	320	888
265	321	886
266	321	883
267	322	881
268	323	878
269	324	876
270	325	874
271	325	872
272	326	870
273	327	868
274	328	866
275	329	863
276	329	860
277	330	858
278	331	856
279	332	853
280	332	851
281	333	848
282	334	846
283	334	843
284	335	841
285	335	838
286	336	836
287	337	833
288	337	831
289	338	828
290	339	826
291	339	824
292	340	821
293	341	819
294	341	816
295	342	814
296	343	813
297	344	811
298	345	809
299	345	806
300	346	804
301	347	802
302	347	800
303	348	798
304	349	796
305	350	793
306	350	791
307	351	789
308	352	787
309	352	785
310	353	783
311	354	781
312	354	778
313	355	776
314	356	774
315	357	772
316	357	770
317	358	768
318	359	766
319	359	764
320	360	762
321	361	760
322	361	758
323	362	756
324	363	754
325	363	752
326	364	749
327	364	747
328	365	745
329	366	743
330	367	741
331	367	739
332	368	738
333	369	736
334	370	734
335	370	732
336	371	730
337	372	728
338	372	727
339	373	725
340	374	723
341	375	721
342	375	720
343	376	718
344	377	716
345	377	714
346	378	712
347	379	710
348	379	708
349	380	706
350	381	705
351	382	703
352	382	701
353	383	699
354	383	697
355	384	695
356	385	693
357	385	692
358	386	690
359	387	688
360	388	687
361	388	685
362	389	683
363	390	681
364	390	680
365	391	678
366	392	676
367	392	674
368	393	673
369	394	671
370	395	669
371	395	668
372	396	666
373	397	664
374	397	663
375	398	661
376	399	659
377	400	658
378	400	656
379	401	655
380	402	653
381	403	652
382	403	650
383	404	648
384	405	647
385	405	645
386	406	643
387	407	642
388	407	640
389	408	639
390	409	637
391	409	635
392	410	634
393	411	632
394	411	630
395	412	629
396	413	627
397	414	626
398	414	624
399	415	623
400	416	621
401	416	620
402	417	618
403	418	616
404	418	615
405	419	613
406	419	611
407	420	610
408	421	608
409	422	607
410	422	605
411	423	604
412	424	602
413	424	601
414	425	600
415	426	598
416	427	597
417	427	595
418	428	594
419	429	592
420	429	590
421	430	589
422	431	587
423	431	586
424	432	585
425	433	583
426	433	582
427	434	580
428	435	579
429	436	577
430	436	576
431	437	574
432	437	573
433	438	572
434	439	570
435	440	569
436	440	567
437	441	566
438	442	565
439	442	563
440	443	562
441	444	560
442	445	559
443	445	558
444	446	557
445	447	555
446	448	554
447	448	553
448	449	551
449	450	550
450	450	548
451	451	547
452	452	546
453	452	544
454	453	543
455	454	541
456	454	540
457	455	538
458	455	537
459	456	535
460	457	534
461	457	533
462	458	531
463	459	530
464	459	528
465	460	527
466	460	526
467	461	524
468	462	523
469	462	521
470	463	520
471	464	519
472	465	518
473	465	516
474	466	515
475	466	513
476	467	512
477	467	510
478	468	509
479	468	507
480	469	506
481	470	505
482	470	504
483	471	502
484	472	501
485	472	499
486	473	498
487	473	496
488	474	495
489	474	494
490	475	492
491	475	491
492	476	490
493	477	489
494	478	487
495	478	486
496	479	485
497	480	484
498	480	482
499	481	481
500	482	480
501	482	479
502	483	477
503	484	476
504	484	475
505	485	473
506	486	472
507	486	471
508	487	470
509	488	469
510	488	467
511	489	466
512	490	465
513	491	464
514	491	463
515	492	462
516	493	460
517	494	459
518	494	458
519	495	457
520	496	456
521	496	454
522	497	453
523	498	452
524	498	451
525	499	450
526	500	449
527	501	447
528	501	446
529	502	445
530	503	444
531	504	443
532	504	442
533	505	440
534	505	439
535	506	438
536	507	437
537	507	435
538	508	434
539	509	433
540	509	432
541	510	431
542	511	430
543	511	429
544	512	427
545	513	426
546	513	425
547	514	424
548	515	423
549	515	422
550	516	420
551	517	419
552	518	418
553	518	417
554	519	416
555	519	415
556	520	413
557	520	412
558	521	411
559	522	410
560	522	409
561	523	408
562	524	406
563	524	405
564	525	404
565	525	403
566	526	402
567	527	401
568	527	399
569	528	398
570	529	397
571	529	396
572	530	395
573	530	394
574	531	392
575	532	391
576	532	390
577	533	389
578	534	388
579	534	387
580	535	386
581	536	385
582	537	384
583	537	382
584	538	381
585	538	380
586	539	379
587	540	378
588	541	377
589	541	376
590	542	375
591	543	374
592	544	373
593	544	372
594	545	371
595	546	370
596	547	369
597	547	368
598	548	367
599	549	366
600	549	364
601	550	363
602	551	362
603	551	361
604	552	360
605	553	359
606	554	358
607	554	357
608	555	356
609	556	355
610	556	354
611	557	353
612	558	352
613	559	351
614	560	350
615	560	349
616	561	348
617	561	347
618	562	346
619	563	345
620	564	344
621	564	343
622	565	342
623	566	341
624	566	339
625	567	338
626	567	337
627	568	336
628	569	335
629	569	334
630	570	333
631	571	332
632	571	331
633	572	330
634	573	329
635	573	328
636	574	327
637	575	326
638	575	325
639	576	324
640	576	323
641	577	322
642	578	321
643	579	320
644	579	319
645	580	318
646	580	316
647	581	315
648	582	314
649	582	313
650	583	312
651	584	311
652	585	310
653	585	309
654	586	308
655	587	307
656	587	306
657	588	305
658	589	304
659	589	303
660	590	302
661	591	301
662	591	300
663	592	299
664	593	298
665	593	297
666	594	296
667	595	295
668	595	294
669	596	293
670	596	292
671	597	291
672	598	290
673	599	289
674	599	288
675	600	287
676	601	286
677	601	285
678	602	284
679	603	283
680	603	282
681	604	281
682	605	281
683	606	280
684	607	279
685	607	278
686	608	277
687	609	276
688	610	275
689	610	274
690	611	273
691	611	272
692	612	271
693	613	270
694	613	269
695	614	268
696	615	267
697	615	266
698	616	265
699	617	264
700	617	263
701	618	262
702	619	261
703	619	260
704	620	259
705	621	258
706	621	257
707	622	256
708	623	255
709	624	254
710	624	253
711	625	252
712	625	251
713	626	250
714	627	250
715	628	249
716	628	248
717	629	247
718	630	246
719	630	245
720	631	244
721	631	243
722	632	242
723	632	241
724	633	240
725	633	239
726	634	238
727	635	237
728	635	236
729	636	235
730	637	234
731	637	233
732	638	232
733	638	231
734	639	230
735	640	229
736	640	228
737	641	227
738	642	226
739	642	225
740	643	224
741	644	224
742	645	223
743	645	222
744	646	221
745	647	220
746	648	219
747	648	218
748	649	217
749	649	216
750	650	215
751	651	214
752	651	213
753	652	212
754	652	211
755	653	210
756	654	209
757	654	209
758	655	208
759	656	207
760	656	206
761	657	205
762	657	204
763	658	203
764	659	202
765	659	201
766	660	200
767	661	199
768	661	198
769	662	197
770	662	196
771	663	195
772	664	195
773	664	194
774	665	193
775	666	192
776	666	191
777	667	190
778	668	189
779	668	188
780	669	187
781	670	186
782	670	185
783	671	184
784	672	184
785	672	183
786	673	182
787	674	181
788	675	180
789	675	179
790	676	178
791	677	177
792	677	176
793	678	176
794	679	175
795	680	174
796	681	173
797	682	172
798	682	171
799	683	170
800	684	169
801	684	169
802	685	168
803	686	167
804	687	166
805	687	165
806	688	164
807	689	163
808	690	162
809	690	162
810	691	161
811	692	160
812	693	159
813	693	158
814	694	157
815	694	156
816	695	155
817	696	154
818	696	153
819	697	153
820	698	152
821	698	151
822	699	150
823	700	149
824	700	148
825	701	147
826	702	146
827	703	146
828	703	145
829	704	144
830	705	143
831	706	142
832	706	141
833	707	140
834	708	139
835	709	139
836	709	138
837	710	137
838	711	136
839	711	135
840	712	134
841	713	133
842	714	133
843	714	132
844	715	131
845	716	130
846	717	129
847	718	128
848	718	127
849	719	127
850	720	126
851	721	125
852	721	124
853	722	123
854	723	122
855	724	121
856	724	120
857	725	120
858	726	119
859	727	118
860	727	117
861	728	116
862	729	115
863	729	114
864	730	114
865	731	113
866	731	112
867	732	111
868	733	110
869	734	109
870	734	108
871	735	107
872	736	107
873	736	106
874	737	105
875	738	104
876	739	103
877	739	102
878	740	101
879	741	101
880	741	100
881	742	99
882	743	98
883	743	97
884	744	96
885	744	95
886	745	94
887	746	94
888	746	93
889	747	92
890	748	91
891	748	90
892	749	89
893	750	88
894	750	88
895	751	87
896	752	86
897	752	85
898	753	84
899	754	83
900	754	82
901	755	82
902	756	81
903	756	80
904	757	79
905	758	78
906	759	77
907	759	76
908	760	76
909	761	75
910	761	74
911	762	73
912	763	72
913	763	71
914	764	70
915	764	70
916	765	69
917	766	68
918	766	67
919	767	66
920	767	65
921	768	65
922	769	64
923	769	63
924	770	62
925	771	61
926	771	60
927	772	59
928	773	59
929	773	58
930	774	57
931	775	56
932	775	55
933	776	54
934	777	54
935	778	53
936	778	52
937	779	51
938	779	50
939	780	49
940	781	48
941	781	48
942	782	47
943	783	46
944	783	45
945	784	44
946	785	43
947	785	43
948	786	42
949	787	41
950	787	40
951	788	39
952	788	38
953	789	38
954	790	37
955	790	36
956	791	35
957	792	34
958	792	33
959	793	33
960	794	32
961	794	31
962	795	30
963	796	29
964	796	28
965	797	28
966	797	27
967	798	26
968	799	25
969	799	24
970	800	23
971	800	23
972	801	22
973	802	21
974	802	20
975	803	19
976	804	18
977	804	18
978	805	17
979	806	16
980	807	15
981	808	14
982	808	13
983	809	13
984	810	12
985	810	11
986	811	10
987	812	9
988	812	9
989	813	8
990	814	7
991	815	6
992	815	5
993	816	4
994	817	4
995	818	3
996	819	2
997	819	1
998	820	0
999	821	0
