iter	Passed	Remaining
0	135	135317
1	136	67972
2	136	45527
3	137	34253
4	138	27483
5	138	22970
6	139	19742
7	139	17313
8	140	15424
9	140	13914
10	141	12678
11	141	11649
12	141	10777
13	142	10036
14	142	9387
15	143	8824
16	144	8326
17	144	7883
18	144	7485
19	145	7126
20	145	6802
21	146	6506
22	146	6238
23	147	5991
24	147	5765
25	148	5556
26	148	5368
27	149	5188
28	149	5019
29	150	4862
30	150	4716
31	151	4578
32	151	4449
33	152	4328
34	152	4212
35	153	4103
36	153	4000
37	154	3903
38	154	3811
39	155	3724
40	155	3641
41	156	3561
42	156	3485
43	157	3412
44	157	3342
45	157	3276
46	158	3213
47	158	3152
48	159	3093
49	159	3037
50	160	2983
51	160	2931
52	161	2881
53	161	2833
54	162	2786
55	162	2741
56	163	2698
57	163	2656
58	164	2617
59	164	2578
60	165	2540
61	165	2504
62	166	2469
63	166	2434
64	166	2401
65	167	2370
66	167	2339
67	168	2305
68	168	2276
69	169	2247
70	169	2219
71	170	2191
72	170	2165
73	170	2139
74	171	2114
75	171	2090
76	172	2066
77	172	2043
78	173	2020
79	173	1998
80	174	1977
81	174	1956
82	175	1935
83	175	1915
84	176	1894
85	176	1875
86	176	1855
87	177	1836
88	177	1818
89	178	1801
90	178	1784
91	179	1767
92	179	1751
93	180	1736
94	180	1720
95	181	1705
96	181	1690
97	182	1675
98	182	1660
99	182	1646
100	183	1632
101	183	1617
102	184	1603
103	184	1590
104	185	1577
105	185	1564
106	186	1552
107	186	1540
108	186	1528
109	187	1516
110	187	1504
111	188	1493
112	188	1482
113	189	1470
114	189	1460
115	190	1448
116	190	1438
117	191	1428
118	191	1417
119	191	1407
120	192	1397
121	192	1388
122	193	1377
123	193	1367
124	194	1358
125	194	1349
126	195	1340
127	195	1330
128	195	1321
129	196	1312
130	196	1304
131	197	1296
132	197	1287
133	198	1279
134	198	1272
135	199	1264
136	199	1256
137	199	1248
138	200	1241
139	200	1233
140	201	1226
141	201	1218
142	202	1211
143	202	1204
144	203	1197
145	203	1190
146	204	1183
147	204	1177
148	204	1170
149	205	1164
150	205	1157
151	206	1151
152	206	1145
153	207	1139
154	207	1133
155	208	1127
156	208	1121
157	209	1115
158	209	1109
159	210	1103
160	210	1097
161	211	1092
162	211	1086
163	212	1081
164	212	1075
165	213	1070
166	213	1064
167	213	1059
168	214	1054
169	214	1049
170	215	1044
171	215	1039
172	216	1033
173	216	1028
174	217	1024
175	217	1019
176	218	1014
177	218	1009
178	219	1005
179	219	1000
180	219	994
181	220	990
182	220	985
183	221	981
184	221	977
185	222	972
186	222	968
187	223	964
188	223	960
189	224	955
190	224	951
191	225	948
192	225	944
193	226	940
194	226	936
195	227	932
196	227	928
197	228	924
198	228	920
199	229	916
200	229	912
201	230	909
202	230	905
203	231	901
204	231	897
205	231	894
206	232	890
207	232	886
208	233	883
209	233	879
210	234	876
211	234	872
212	235	869
213	235	865
214	236	862
215	236	859
216	237	856
217	237	852
218	238	849
219	238	846
220	239	842
221	239	839
222	240	836
223	240	833
224	241	830
225	241	826
226	241	823
227	242	820
228	242	817
229	243	814
230	243	811
231	244	808
232	244	805
233	245	802
234	245	799
235	246	796
236	246	793
237	247	790
238	247	787
239	247	785
240	248	782
241	248	779
242	249	777
243	250	774
244	250	771
245	250	769
246	251	766
247	251	763
248	252	761
249	252	758
250	253	755
251	253	753
252	254	750
253	254	747
254	255	745
255	255	742
256	256	740
257	256	737
258	256	735
259	257	732
260	257	730
261	258	727
262	258	725
263	259	722
264	259	720
265	260	717
266	260	715
267	261	713
268	261	710
269	262	708
270	262	706
271	263	703
272	263	701
273	264	699
274	264	697
275	265	695
276	265	693
277	266	690
278	266	688
279	267	686
280	267	684
281	268	682
282	268	680
283	268	678
284	269	676
285	269	673
286	270	671
287	270	669
288	271	667
289	271	665
290	272	663
291	272	661
292	273	659
293	273	657
294	274	655
295	274	653
296	275	651
297	275	649
298	276	648
299	276	646
300	277	644
301	277	642
302	278	640
303	278	638
304	279	636
305	279	634
306	280	633
307	280	631
308	281	629
309	282	627
310	282	625
311	283	624
312	283	622
313	284	620
314	284	618
315	285	617
316	285	615
317	286	613
318	286	611
319	287	610
320	287	608
321	288	606
322	288	604
323	289	603
324	289	601
325	290	599
326	290	597
327	290	596
328	291	594
329	291	592
330	292	591
331	293	589
332	293	587
333	294	586
334	294	584
335	294	582
336	295	581
337	296	579
338	296	578
339	297	576
340	297	574
341	298	573
342	298	571
343	298	570
344	299	568
345	300	567
346	300	565
347	300	563
348	301	562
349	301	560
350	302	559
351	302	557
352	303	555
353	303	554
354	304	552
355	304	551
356	305	549
357	305	548
358	306	546
359	306	545
360	307	543
361	307	542
362	308	540
363	308	539
364	309	537
365	309	536
366	310	535
367	310	533
368	311	532
369	311	531
370	312	529
371	312	528
372	313	527
373	314	525
374	314	524
375	315	522
376	315	521
377	316	520
378	316	518
379	317	517
380	317	516
381	318	514
382	318	513
383	319	512
384	319	510
385	320	509
386	320	508
387	321	506
388	321	505
389	322	504
390	322	502
391	323	501
392	323	500
393	324	499
394	325	497
395	325	496
396	326	495
397	326	494
398	327	492
399	327	491
400	328	490
401	328	489
402	329	488
403	330	487
404	330	486
405	331	484
406	331	483
407	332	482
408	333	481
409	333	480
410	334	479
411	334	477
412	335	476
413	336	475
414	336	474
415	337	473
416	338	472
417	338	471
418	339	470
419	339	469
420	340	468
421	340	466
422	341	465
423	342	464
424	342	463
425	343	462
426	343	461
427	344	460
428	344	458
429	345	457
430	345	456
431	346	455
432	347	454
433	347	453
434	348	452
435	348	451
436	349	450
437	350	449
438	350	448
439	351	447
440	351	445
441	352	444
442	352	443
443	353	442
444	354	441
445	354	440
446	355	439
447	355	438
448	356	437
449	357	436
450	357	435
451	358	434
452	358	433
453	359	431
454	359	430
455	360	429
456	360	428
457	361	427
458	361	426
459	362	425
460	363	424
461	363	423
462	364	422
463	364	421
464	365	420
465	366	419
466	366	418
467	367	417
468	367	416
469	368	415
470	368	414
471	369	413
472	369	412
473	370	411
474	370	410
475	371	409
476	372	408
477	372	406
478	373	405
479	373	404
480	374	403
481	374	402
482	375	402
483	376	401
484	376	400
485	377	399
486	378	398
487	378	397
488	379	396
489	379	395
490	380	394
491	380	393
492	381	392
493	382	391
494	382	390
495	383	389
496	383	388
497	384	387
498	384	386
499	385	385
500	385	384
501	386	383
502	386	382
503	387	381
504	387	380
505	388	379
506	389	378
507	389	377
508	390	376
509	390	375
510	391	374
511	391	373
512	392	372
513	392	371
514	393	370
515	393	369
516	394	368
517	394	367
518	395	366
519	395	365
520	396	364
521	396	363
522	397	362
523	397	361
524	398	360
525	398	359
526	399	358
527	399	357
528	400	356
529	400	355
530	401	354
